,loss,val_loss
0,0.00013917720934841782,0.0006801430135965347
1,6.497833965113387e-05,0.0004063163069076836
2,5.2753210184164345e-05,0.0013162433169782162
3,3.9331684092758223e-05,0.000203849864192307
4,4.1148941818391904e-05,0.00022063776850700378
5,3.187707989127375e-05,0.00012250067084096372
6,2.8299746190896258e-05,8.708062523510307e-05
7,2.881066939153243e-05,0.0007884441874921322
8,2.7231020794715732e-05,0.00042967096669599414
9,2.3774278815835714e-05,0.000400586926843971
10,2.5362869564560242e-05,3.6200777685735375e-05
11,2.0749164832523093e-05,4.382267434266396e-05
12,2.446538201184012e-05,0.0002120792050845921
13,2.2755310055799782e-05,3.3836673537734896e-05
14,2.5319692213088274e-05,0.0007649373728781939
15,2.814291656250134e-05,2.306817077624146e-05
16,2.2090449419920333e-05,7.373480184469372e-05
17,2.073965333693195e-05,0.000834595994092524
18,2.1256555555737577e-05,0.0011416288325563073
19,2.0296714865253307e-05,0.0003992188139818609
20,2.0402128939167596e-05,0.0002537980326451361
21,2.2821455786470324e-05,0.0008550846832804382
22,2.2871139663038775e-05,0.00037474228884093463
23,2.069596121145878e-05,0.00026615645037963986
24,1.8692284356802702e-05,0.0013113528257235885
25,1.9235943909734488e-05,0.0006628593546338379
